respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
6049,Undergraduate,1,Video lectures,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Laptop
6050,Graduate,4,Practice exercises,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Mobile
6051,Postgraduate,5,Interactive discussion,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
6052,Undergraduate,5,Interactive discussion,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
6053,Graduate,4,Interactive discussion,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
6054,Undergraduate,6,Recorded tutorials,Lack of concentration,High,Online learning is flexible and convenient,Tablet
6055,Undergraduate,4,Recorded tutorials,Lack of concentration,Medium,Blended learning is more effective than fully online,Mobile
6056,Graduate,5,Video lectures,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
6057,Undergraduate,1,Reading notes,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Tablet
6058,Graduate,3,Interactive discussion,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop
6059,Graduate,2,Video lectures,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
6060,Graduate,1,Interactive discussion,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Tablet
6061,Postgraduate,2,Video lectures,Lack of concentration,Medium,Online learning requires strong self-discipline,Tablet
6062,Postgraduate,4,Interactive discussion,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
6063,Graduate,4,Recorded tutorials,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
6064,Postgraduate,3,Practice exercises,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
6065,Postgraduate,5,Recorded tutorials,Low motivation,High,Online learning requires strong self-discipline,Mobile
6066,Undergraduate,4,Video lectures,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
6067,Graduate,2,Practice exercises,Lack of concentration,Low,Online learning is flexible and convenient,Mobile
6068,Postgraduate,6,Interactive discussion,Academic workload pressure,Medium,Online learning is flexible and convenient,Mobile
6069,Undergraduate,5,Recorded tutorials,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Tablet
6070,Undergraduate,3,Video lectures,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
6071,Postgraduate,4,Reading notes,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Mobile
6072,Postgraduate,1,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
6073,Undergraduate,4,Practice exercises,Time management difficulty,High,Online learning requires strong self-discipline,Laptop
6074,Undergraduate,4,Interactive discussion,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
6075,Undergraduate,5,Interactive discussion,Time management difficulty,Medium,Blended learning is more effective than fully online,Laptop
6076,Postgraduate,1,Video lectures,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
6077,Postgraduate,5,Reading notes,Lack of concentration,Medium,Blended learning is more effective than fully online,Laptop
6078,Postgraduate,6,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
6079,Postgraduate,1,Practice exercises,Academic workload pressure,Low,Blended learning is more effective than fully online,Mobile
6080,Postgraduate,3,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
6081,Undergraduate,1,Video lectures,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
6082,Undergraduate,3,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Laptop
6083,Graduate,5,Interactive discussion,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
6084,Graduate,5,Recorded tutorials,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
6085,Undergraduate,4,Recorded tutorials,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Mobile
6086,Postgraduate,1,Practice exercises,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Tablet
6087,Undergraduate,2,Practice exercises,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
6088,Undergraduate,6,Video lectures,Time management difficulty,High,Online learning requires strong self-discipline,Laptop
6089,Undergraduate,6,Recorded tutorials,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Laptop
6090,Graduate,5,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Laptop
6091,Postgraduate,2,Recorded tutorials,Lack of concentration,Medium,Blended learning is more effective than fully online,Mobile
6092,Postgraduate,1,Recorded tutorials,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop
6093,Graduate,3,Recorded tutorials,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
6094,Graduate,1,Reading notes,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Tablet
6095,Postgraduate,5,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Tablet
6096,Graduate,2,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Tablet
6097,Undergraduate,3,Recorded tutorials,Time management difficulty,Low,Blended learning is more effective than fully online,Tablet
6098,Postgraduate,3,Interactive discussion,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
6099,Undergraduate,3,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
6100,Graduate,5,Practice exercises,Lack of concentration,Medium,Online learning requires strong self-discipline,Mobile
6101,Undergraduate,1,Reading notes,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
6102,Postgraduate,1,Reading notes,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
6103,Graduate,1,Video lectures,Academic workload pressure,High,Online learning is flexible and convenient,Laptop
6104,Postgraduate,2,Reading notes,Internet connectivity issues,High,Online learning requires strong self-discipline,Laptop
6105,Graduate,5,Practice exercises,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
6106,Postgraduate,5,Interactive discussion,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
6107,Undergraduate,3,Video lectures,Academic workload pressure,High,Online learning requires strong self-discipline,Laptop
6108,Postgraduate,4,Interactive discussion,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
6109,Postgraduate,3,Reading notes,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
6110,Undergraduate,1,Reading notes,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
6111,Graduate,4,Recorded tutorials,Low motivation,Low,Blended learning is more effective than fully online,Laptop
6112,Undergraduate,2,Reading notes,Internet connectivity issues,High,Online learning requires strong self-discipline,Mobile
6113,Undergraduate,5,Practice exercises,Time management difficulty,High,Online learning is flexible and convenient,Laptop
6114,Undergraduate,1,Reading notes,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
6115,Graduate,1,Recorded tutorials,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
6116,Undergraduate,2,Reading notes,Lack of concentration,High,Online learning requires strong self-discipline,Tablet
6117,Postgraduate,2,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Mobile
6118,Graduate,5,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Mobile
6119,Graduate,3,Reading notes,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop
6120,Graduate,3,Practice exercises,Time management difficulty,Medium,Online platforms provide access to diverse resources,Mobile
6121,Graduate,1,Recorded tutorials,Lack of concentration,Medium,Online learning requires strong self-discipline,Mobile
6122,Graduate,2,Practice exercises,Time management difficulty,Low,Online platforms provide access to diverse resources,Laptop
6123,Graduate,3,Practice exercises,Academic workload pressure,Medium,Online learning is flexible and convenient,Mobile
6124,Undergraduate,5,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
6125,Postgraduate,3,Interactive discussion,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Laptop
6126,Graduate,5,Recorded tutorials,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
6127,Postgraduate,3,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
6128,Postgraduate,1,Reading notes,Low motivation,Low,Blended learning is more effective than fully online,Mobile
6129,Postgraduate,6,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
6130,Postgraduate,5,Video lectures,Time management difficulty,Low,Online platforms provide access to diverse resources,Laptop
6131,Undergraduate,3,Interactive discussion,Lack of concentration,Low,Online learning is flexible and convenient,Mobile
6132,Undergraduate,1,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
6133,Postgraduate,5,Video lectures,Time management difficulty,Medium,Online platforms provide access to diverse resources,Laptop
6134,Postgraduate,6,Interactive discussion,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
6135,Undergraduate,6,Video lectures,Low motivation,Low,Online learning requires strong self-discipline,Mobile
6136,Postgraduate,5,Recorded tutorials,Time management difficulty,Medium,Online platforms provide access to diverse resources,Tablet
6137,Undergraduate,5,Interactive discussion,Time management difficulty,High,Blended learning is more effective than fully online,Mobile
6138,Postgraduate,1,Interactive discussion,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop
6139,Postgraduate,6,Recorded tutorials,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet
6140,Graduate,2,Video lectures,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
6141,Postgraduate,6,Interactive discussion,Low motivation,High,Blended learning is more effective than fully online,Laptop
6142,Postgraduate,2,Recorded tutorials,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Mobile
6143,Graduate,4,Recorded tutorials,Time management difficulty,High,Online learning is effective for theory-based subjects,Tablet
6144,Graduate,4,Recorded tutorials,Academic workload pressure,Low,Online platforms provide access to diverse resources,Mobile
6145,Graduate,2,Reading notes,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
6146,Graduate,1,Reading notes,Low motivation,High,Online learning is effective for theory-based subjects,Mobile
6147,Undergraduate,3,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
6148,Postgraduate,5,Reading notes,Academic workload pressure,Low,Blended learning is more effective than fully online,Laptop
6149,Postgraduate,4,Interactive discussion,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
6150,Graduate,4,Reading notes,Internet connectivity issues,High,Online learning requires strong self-discipline,Mobile
6151,Undergraduate,5,Interactive discussion,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile
6152,Graduate,2,Reading notes,Internet connectivity issues,Medium,Online learning is flexible and convenient,Tablet
6153,Undergraduate,6,Video lectures,Academic workload pressure,High,Online learning is flexible and convenient,Tablet
6154,Undergraduate,4,Practice exercises,Low motivation,High,Online learning requires strong self-discipline,Mobile
6155,Postgraduate,6,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
6156,Undergraduate,1,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Laptop
6157,Postgraduate,6,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Laptop
6158,Postgraduate,2,Video lectures,Time management difficulty,High,Online platforms provide access to diverse resources,Tablet
6159,Postgraduate,3,Video lectures,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Tablet
6160,Graduate,6,Video lectures,Time management difficulty,High,Online platforms provide access to diverse resources,Tablet
6161,Postgraduate,3,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Laptop
6162,Undergraduate,4,Video lectures,Low motivation,High,Online platforms provide access to diverse resources,Laptop
6163,Graduate,2,Practice exercises,Time management difficulty,Low,Online learning is flexible and convenient,Laptop
6164,Undergraduate,4,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Mobile
6165,Undergraduate,3,Reading notes,Time management difficulty,Medium,Online learning is flexible and convenient,Mobile
6166,Graduate,6,Practice exercises,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
6167,Postgraduate,2,Interactive discussion,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop
6168,Undergraduate,5,Reading notes,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
6169,Undergraduate,6,Practice exercises,Time management difficulty,Medium,Online learning is flexible and convenient,Laptop
6170,Postgraduate,6,Recorded tutorials,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Laptop
6171,Undergraduate,4,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Mobile
6172,Undergraduate,5,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Laptop
6173,Postgraduate,6,Practice exercises,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
6174,Postgraduate,6,Practice exercises,Low motivation,Low,Blended learning is more effective than fully online,Laptop
6175,Postgraduate,4,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
6176,Postgraduate,6,Interactive discussion,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Laptop
6177,Undergraduate,5,Video lectures,Low motivation,Low,Blended learning is more effective than fully online,Tablet
6178,Undergraduate,6,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
6179,Graduate,2,Video lectures,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Tablet
6180,Postgraduate,6,Interactive discussion,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
6181,Postgraduate,3,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
6182,Graduate,5,Video lectures,Lack of concentration,High,Online learning is flexible and convenient,Mobile
6183,Graduate,1,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
6184,Undergraduate,6,Video lectures,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile
6185,Graduate,5,Video lectures,Internet connectivity issues,Medium,Online learning is flexible and convenient,Mobile
6186,Graduate,4,Practice exercises,Internet connectivity issues,Low,Online learning requires strong self-discipline,Tablet
6187,Graduate,4,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
6188,Undergraduate,4,Reading notes,Low motivation,Low,Blended learning is more effective than fully online,Mobile
6189,Postgraduate,1,Reading notes,Internet connectivity issues,High,Online learning is flexible and convenient,Laptop
6190,Undergraduate,4,Interactive discussion,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop
6191,Postgraduate,3,Interactive discussion,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
6192,Undergraduate,6,Interactive discussion,Internet connectivity issues,Low,Blended learning is more effective than fully online,Mobile
6193,Graduate,3,Reading notes,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
6194,Postgraduate,5,Recorded tutorials,Time management difficulty,High,Online learning is effective for theory-based subjects,Tablet
6195,Postgraduate,6,Interactive discussion,Academic workload pressure,Medium,Online learning requires strong self-discipline,Laptop
6196,Postgraduate,4,Interactive discussion,Time management difficulty,High,Online learning is flexible and convenient,Tablet
6197,Postgraduate,5,Practice exercises,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop
6198,Undergraduate,3,Video lectures,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
6199,Postgraduate,3,Reading notes,Low motivation,Low,Blended learning is more effective than fully online,Tablet
6200,Undergraduate,2,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
6201,Graduate,1,Video lectures,Time management difficulty,Medium,Online platforms provide access to diverse resources,Mobile
6202,Undergraduate,2,Interactive discussion,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
6203,Graduate,6,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Mobile
6204,Graduate,6,Recorded tutorials,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
6205,Postgraduate,2,Reading notes,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
6206,Postgraduate,2,Recorded tutorials,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Laptop
6207,Graduate,6,Video lectures,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Mobile
6208,Graduate,6,Reading notes,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
6209,Postgraduate,4,Practice exercises,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
6210,Postgraduate,6,Interactive discussion,Low motivation,Low,Online learning is effective for theory-based subjects,Laptop
6211,Postgraduate,2,Recorded tutorials,Lack of concentration,High,Online learning is flexible and convenient,Laptop
6212,Postgraduate,1,Interactive discussion,Lack of concentration,Low,Blended learning is more effective than fully online,Mobile
6213,Graduate,1,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
6214,Postgraduate,2,Practice exercises,Lack of concentration,High,Online learning is flexible and convenient,Tablet
6215,Postgraduate,1,Video lectures,Lack of concentration,Low,Blended learning is more effective than fully online,Tablet
6216,Postgraduate,6,Reading notes,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
6217,Postgraduate,5,Video lectures,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
6218,Graduate,2,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
6219,Undergraduate,3,Interactive discussion,Lack of concentration,Medium,Blended learning is more effective than fully online,Mobile
6220,Undergraduate,3,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
6221,Undergraduate,2,Interactive discussion,Academic workload pressure,Medium,Online learning is flexible and convenient,Laptop
6222,Graduate,4,Video lectures,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Mobile
6223,Postgraduate,1,Video lectures,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop
6224,Postgraduate,5,Practice exercises,Internet connectivity issues,Medium,Online learning is flexible and convenient,Tablet
6225,Postgraduate,5,Recorded tutorials,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
6226,Postgraduate,3,Practice exercises,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Laptop
6227,Undergraduate,6,Practice exercises,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
6228,Graduate,3,Recorded tutorials,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Laptop
6229,Graduate,5,Interactive discussion,Time management difficulty,Medium,Online platforms provide access to diverse resources,Mobile
6230,Graduate,3,Video lectures,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
6231,Graduate,4,Reading notes,Academic workload pressure,High,Online learning is effective for theory-based subjects,Tablet
6232,Postgraduate,1,Reading notes,Academic workload pressure,Low,Online learning requires strong self-discipline,Mobile
6233,Postgraduate,6,Interactive discussion,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Laptop
6234,Postgraduate,4,Practice exercises,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Tablet
6235,Undergraduate,6,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile
6236,Undergraduate,1,Video lectures,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet
6237,Undergraduate,6,Reading notes,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
6238,Undergraduate,1,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Tablet
6239,Undergraduate,1,Interactive discussion,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Laptop
6240,Postgraduate,5,Video lectures,Lack of concentration,Medium,Online learning requires strong self-discipline,Mobile
6241,Postgraduate,1,Interactive discussion,Low motivation,High,Blended learning is more effective than fully online,Laptop
6242,Postgraduate,2,Interactive discussion,Academic workload pressure,Low,Online learning requires strong self-discipline,Mobile
6243,Undergraduate,1,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Tablet
6244,Undergraduate,6,Reading notes,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Mobile
6245,Postgraduate,2,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
6246,Undergraduate,3,Recorded tutorials,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Mobile
6247,Postgraduate,1,Practice exercises,Low motivation,High,Blended learning is more effective than fully online,Mobile
6248,Undergraduate,1,Recorded tutorials,Low motivation,High,Online platforms provide access to diverse resources,Tablet
6249,Graduate,3,Recorded tutorials,Low motivation,Low,Blended learning is more effective than fully online,Tablet
6250,Graduate,5,Recorded tutorials,Academic workload pressure,Medium,Online learning is flexible and convenient,Tablet
6251,Postgraduate,3,Recorded tutorials,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Mobile
6252,Postgraduate,3,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Mobile
6253,Graduate,2,Recorded tutorials,Low motivation,Medium,Online learning is effective for theory-based subjects,Tablet
6254,Graduate,6,Practice exercises,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
6255,Postgraduate,2,Reading notes,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
6256,Graduate,6,Recorded tutorials,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
6257,Postgraduate,5,Reading notes,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
6258,Postgraduate,1,Interactive discussion,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Tablet
6259,Graduate,2,Video lectures,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
6260,Postgraduate,4,Recorded tutorials,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Tablet
6261,Postgraduate,2,Video lectures,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Mobile
6262,Graduate,1,Reading notes,Lack of concentration,Low,Online learning requires strong self-discipline,Tablet
6263,Postgraduate,5,Recorded tutorials,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
6264,Graduate,4,Practice exercises,Low motivation,High,Blended learning is more effective than fully online,Tablet
6265,Undergraduate,5,Reading notes,Low motivation,Medium,Online platforms provide access to diverse resources,Mobile
6266,Postgraduate,3,Practice exercises,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
6267,Undergraduate,3,Recorded tutorials,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile
6268,Graduate,5,Recorded tutorials,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
6269,Undergraduate,5,Reading notes,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
6270,Postgraduate,2,Reading notes,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
6271,Undergraduate,1,Reading notes,Lack of concentration,Low,Online learning is effective for theory-based subjects,Mobile
6272,Postgraduate,3,Video lectures,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
6273,Postgraduate,1,Interactive discussion,Time management difficulty,Low,Blended learning is more effective than fully online,Mobile
6274,Undergraduate,3,Recorded tutorials,Low motivation,Medium,Online learning requires strong self-discipline,Mobile
6275,Undergraduate,3,Video lectures,Low motivation,Low,Blended learning is more effective than fully online,Tablet
6276,Postgraduate,5,Reading notes,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
6277,Postgraduate,5,Recorded tutorials,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
6278,Postgraduate,1,Practice exercises,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
6279,Postgraduate,1,Practice exercises,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Laptop
6280,Graduate,1,Practice exercises,Low motivation,Low,Online learning requires strong self-discipline,Tablet
6281,Undergraduate,3,Reading notes,Academic workload pressure,Low,Online learning requires strong self-discipline,Mobile
6282,Graduate,4,Video lectures,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Mobile
6283,Undergraduate,4,Interactive discussion,Low motivation,Low,Online learning is flexible and convenient,Tablet
6284,Postgraduate,6,Interactive discussion,Lack of concentration,Low,Online learning requires strong self-discipline,Mobile
6285,Postgraduate,1,Reading notes,Low motivation,High,Online learning is effective for theory-based subjects,Laptop
6286,Undergraduate,2,Video lectures,Low motivation,High,Online platforms provide access to diverse resources,Mobile
6287,Graduate,6,Practice exercises,Internet connectivity issues,High,Online learning requires strong self-discipline,Laptop
6288,Graduate,1,Interactive discussion,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Laptop
6289,Undergraduate,1,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
6290,Undergraduate,2,Video lectures,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Mobile
6291,Graduate,3,Interactive discussion,Time management difficulty,Low,Online learning requires strong self-discipline,Mobile
6292,Graduate,2,Recorded tutorials,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Mobile
6293,Graduate,2,Reading notes,Lack of concentration,Medium,Blended learning is more effective than fully online,Mobile
6294,Undergraduate,6,Reading notes,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop
6295,Graduate,5,Practice exercises,Internet connectivity issues,Medium,Online learning is flexible and convenient,Laptop
6296,Graduate,1,Practice exercises,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
6297,Graduate,1,Reading notes,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
6298,Postgraduate,4,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Laptop
6299,Graduate,2,Video lectures,Internet connectivity issues,High,Online learning requires strong self-discipline,Laptop
6300,Undergraduate,4,Practice exercises,Low motivation,High,Online learning is effective for theory-based subjects,Mobile
6301,Undergraduate,4,Recorded tutorials,Low motivation,Low,Online platforms provide access to diverse resources,Tablet
6302,Postgraduate,5,Interactive discussion,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
6303,Postgraduate,6,Reading notes,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
6304,Graduate,5,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
6305,Postgraduate,4,Interactive discussion,Lack of concentration,High,Online learning is flexible and convenient,Mobile
6306,Graduate,1,Video lectures,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
6307,Postgraduate,3,Practice exercises,Time management difficulty,High,Online platforms provide access to diverse resources,Mobile
6308,Postgraduate,1,Reading notes,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Laptop
6309,Postgraduate,6,Video lectures,Low motivation,Medium,Online learning is flexible and convenient,Tablet
6310,Graduate,1,Practice exercises,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Laptop
6311,Undergraduate,5,Video lectures,Low motivation,Low,Online learning requires strong self-discipline,Laptop
6312,Postgraduate,3,Reading notes,Time management difficulty,Medium,Online learning is flexible and convenient,Tablet
6313,Graduate,5,Practice exercises,Lack of concentration,Medium,Blended learning is more effective than fully online,Mobile
6314,Undergraduate,1,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
6315,Undergraduate,6,Interactive discussion,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
6316,Postgraduate,4,Practice exercises,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
6317,Undergraduate,1,Interactive discussion,Low motivation,Low,Online learning is flexible and convenient,Mobile
6318,Graduate,3,Practice exercises,Academic workload pressure,High,Blended learning is more effective than fully online,Laptop
6319,Postgraduate,3,Video lectures,Low motivation,High,Online learning requires strong self-discipline,Tablet
6320,Undergraduate,6,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Tablet
6321,Graduate,3,Practice exercises,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop
6322,Undergraduate,4,Interactive discussion,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
6323,Postgraduate,4,Recorded tutorials,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Tablet
6324,Graduate,6,Video lectures,Low motivation,Medium,Online learning is effective for theory-based subjects,Tablet
6325,Undergraduate,1,Interactive discussion,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Tablet
6326,Undergraduate,5,Recorded tutorials,Academic workload pressure,High,Blended learning is more effective than fully online,Laptop
6327,Postgraduate,3,Video lectures,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Laptop
